Company Name,Ticker,Sector,Market Cap,Exchange
AGILENT TECH,A,Computer and Technology,13324.35,NYSE
ALCOA INC,AA,Basic Materials,12325.24,NYSE
AAC HOLDINGS,AAC,Medical,398.21,NYSE
AARONS INC,AAN,Retail-Wholesale,2662.01,NYSE
ADVANCE AUTO PT,AAP,Retail-Wholesale,12714.68,NYSE
AMER ASSETS TR,AAT,Finance,1824.65,NYSE
ADV OIL&GAS LTD,AAV,Oils-Energy,926.9,NYSE
ALLIANCEBERNSTN,AB,Finance,2826.01,NYSE
ABB LTD-ADR,ABB,Industrial Products,47452.23,NYSE
ABBVIE INC,ABBV,Medical,109316.88,NYSE
AMERISOURCEBRGN,ABC,Medical,22926.43,NYSE
AMBEV-PR ADR,ABEV,Consumer Staples,86761.23,NYSE
ASBURY AUTO GRP,ABG,Retail-Wholesale,2227.22,NYSE
ABM INDUSTRIES,ABM,Business Services,1863.42,NYSE
ARBOR RLTY TRST,ABR,Finance,333.3,NYSE
ABBOTT LABS,ABT,Medical,74601.61,NYSE
BARRICK GOLD CP,ABX,Basic Materials,8201.6,NYSE
AMER CAMPUS CTY,ACC,Finance,4171.34,NYSE
ACCO BRANDS CP,ACCO,Industrial Products,836.44,NYSE
ACE LIMITED,ACE,Finance,35573.21,NYSE
ALLIANCEBERN IF,ACG,Finance,1931.15,NYSE
ALUMINUM CP-ADR,ACH,Basic Materials,5186.52,NYSE
AECOM TECH CORP,ACM,Construction,4550.44,NYSE
ACCENTURE PLC,ACN,Business Services,64747.77,NYSE
ARES COMMERCIAL,ACRE,Finance,359.34,NYSE
AGREE RLTY CORP,ADC,Finance,554.06,NYSE
ARCHER DANIELS,ADM,Consumer Staples,28797.71,NYSE
ADEPTUS HEALTH,ADPT,Medical,1585.3,NYSE
ALLIANCE DATA,ADS,Business Services,16763.16,NYSE
ADT CORP,ADT,Business Services,5638.38,NYSE
ADAMS EXPRESS,ADX,Finance,1336.19,NYSE
ASSOC ESTATES,AEC,Finance,1668.1,NYSE
AMEREN CORP,AEE,Utilities,10218.31,NYSE
AEGON N V,AEG,Finance,20845.7,NYSE
AMER EQUITY INV,AEL,Finance,2006.48,NYSE
AGNICO EAGLE,AEM,Basic Materials,4799.01,NYSE
AMER EAGLE OUTF,AEO,Retail-Wholesale,3455.04,NYSE
AMER ELEC PWR,AEP,Utilities,27849.09,NYSE
AERCAP HLDGS NV,AER,Finance,9161.63,NYSE
AES CORP,AES,Utilities,8626.05,NYSE
AETNA INC-NEW,AET,Medical,40573.32,NYSE
ASTORIA FINL CP,AF,Finance,1607.63,NYSE
AMER FINL GROUP,AFG,Finance,6267.03,NYSE
AFLAC INC,AFL,Finance,27581.64,NYSE
FIRST MAJESTIC,AG,Basic Materials,370.3,NYSE
AGCO CORP,AGCO,Industrial Products,5012.8,NYSE
ALAMOS GOLD INC,AGI,Basic Materials,781.85,NYSE
FED AGRIC MTG-C,AGM,Finance,284.31,NYSE
ALLERGAN PLC,AGN,Medical,126131.55,NYSE
ASSURED GUARNTY,AGO,Finance,3831.4,NYSE
ADECOAGRO SA,AGRO,Consumer Staples,1019.85,NYSE
AGRIUM INC,AGU,Basic Materials,14414.46,NYSE
ARGAN INC,AGX,Business Services,574.33,NYSE
ARMADA HOFFLER,AHH,Finance,260.56,NYSE
ASPEN INS HLDGS,AHL,Finance,2961.1,NYSE
ASHFORD HOSP PR,AHP,Finance,313.4,NYSE
AMN HLTHCR SVCS,AHS,Medical,1626.42,NYSE
ASHFORD HOSPTLY,AHT,Finance,816.64,NYSE
ARLINGTON ASSET,AI,Finance,416.85,NYSE
AMER INTL GRP,AIG,Finance,82019.49,NYSE
ALBANY INTL A,AIN,Industrial Products,1073.6,NYSE
AAR CORP,AIR,Aerospace,941.44,NYSE
APPLD INDL TECH,AIT,Industrial Products,1520.42,NYSE
APARTMENT INVT,AIV,Finance,6146.57,NYSE
ASSURANT INC,AIZ,Finance,5233.61,NYSE
GALLAGHER ARTHU,AJG,Finance,8308.34,NYSE
AEROJET ROCKETD,AJRD,Aerospace,1419.39,NYSE
EMBOT ANDINA-A,AKO.A,Consumer Staples,2172.38,NYSE
EMBOT ANDINA-B,AKO.B,Consumer Staples,1370.93,NYSE
ACADIA RLTY TR,AKR,Finance,2195.65,NYSE
AK STEEL HLDG,AKS,Basic Materials,540.62,NYSE
AIR LEASE CORP,AL,Transportation,3728.75,NYSE
ALBEMARLE CORP,ALB,Basic Materials,5748.41,NYSE
ALON USA PTNRS,ALDW,Oils-Energy,1505.87,NYSE
ALLETE INC,ALE,Utilities,2501.61,NYSE
ALEXANDR&BALDWN,ALEX,Finance,1754.8,NYSE
ALAMO GROUP INC,ALG,Industrial Products,581.66,NYSE
ALON USA ENERGY,ALJ,Oils-Energy,1469.98,NYSE
ALASKA AIR GRP,ALK,Transportation,9929.84,NYSE
