Company Name,Ticker,Sector,Exchange,Market Cap
AMER AIRLINES,AAL,Transportation,NSDQ,27873.85
APPLIED OPTOELE,AAOI,Computer and Technology,NSDQ,326.5
AAON INC,AAON,Construction,NSDQ,1228.91
APPLE INC,AAPL,Computer and Technology,NSDQ,658778.44
AVALANCHE BIOT,AAVL,Medical,NSDQ,357.41
ATLAS AIR WORLD,AAWW,Transportation,NSDQ,1127.13
ABAXIS INC,ABAX,Medical,NSDQ,1103.45
AMERIS BANCORP,ABCB,Finance,NSDQ,899.25
ADVISORY BOARD,ABCO,Medical,NSDQ,2007.08
ANCHOR BANCP WI,ABCW,Finance,NSDQ,381.22
ABENGOA SA,ABGB,Industrial Products,NSDQ,902.68
ABIOMED INC,ABMD,Medical,NSDQ,4023.63
ARBUTUS BIOPH,ABUS,Medical,NSDQ,548.2
ABENGOA YIELD,ABY,Utilities,NSDQ,2257.89
ACADIA PHARMA,ACAD,Medical,NSDQ,3925.62
AMER CAP LTD,ACAS,Finance,NSDQ,3726.07
ARCTIC CAT INC,ACAT,Consumer Discretionary,NSDQ,374.08
ACETO CORP,ACET,Basic Materials,NSDQ,711.3
ARCH CAP GP LTD,ACGL,Finance,NSDQ,8827.78
ACADIA HEALTHCR,ACHC,Medical,NSDQ,5801.06
ACHILLION PHARM,ACHN,Medical,NSDQ,893.45
ACI WORLDWIDE,ACIW,Computer and Technology,NSDQ,2671.64
AXCELIS TECH,ACLS,Computer and Technology,NSDQ,364.43
ACORDA THERAPT,ACOR,Medical,NSDQ,1375.73
ACTUA CORP,ACTA,Computer and Technology,NSDQ,531.77
ACACIA RESEARCH,ACTG,Business Services,NSDQ,451.79
ISHRS-MSCI ACWI,ACWI,Finance,NSDQ,6455.18
ACXIOM CORP,ACXM,Computer and Technology,NSDQ,1564.21
ADAPTIMMUNE THR,ADAP,Medical,NSDQ,969.05
ADOBE SYSTEMS,ADBE,Computer and Technology,NSDQ,41150.27
ANALOG DEVICES,ADI,Computer and Technology,NSDQ,18690.24
ADAMAS PHARMA,ADMS,Medical,NSDQ,450.51
AUTOMATIC DATA,ADP,Business Services,NSDQ,37698.08
ADURO BIOTECH,ADRO,Medical,NSDQ,1444.47
AUTODESK INC,ADSK,Computer and Technology,NSDQ,12072.38
ADTRAN INC,ADTN,Computer and Technology,NSDQ,872.3
ADDUS HOMECARE,ADUS,Medical,NSDQ,319.92
ADVAXIS INC,ADXS,Medical,NSDQ,459.64
AEGION CORP,AEGN,Construction,NSDQ,676.2
AEGERION PHARMA,AEGR,Medical,NSDQ,518.84
ADV ENERGY INDS,AEIS,Computer and Technology,NSDQ,1105.31
AERIE PHARMACT,AERI,Medical,NSDQ,400.41
ALMOST FAMILY,AFAM,Medical,NSDQ,473.72
AFFYMETRIX INC,AFFX,Medical,NSDQ,807.78
AFFIMED THERAP,AFMD,Medical,NSDQ,383.17
ALLIANCE FIBER,AFOP,Computer and Technology,NSDQ,339.49
AMTRUST FIN SVC,AFSI,Finance,NSDQ,5566.41
AGENUS INC,AGEN,Medical,NSDQ,651.7
AGROFRESH SOL,AGFS,Unclassified,NSDQ,318.35
ARGO GROUP INTL,AGII,Finance,NSDQ,1610.34
AGIOS PHARMACT,AGIO,Medical,NSDQ,3655.02
AMER CAP AGENCY,AGNC,Finance,NSDQ,6710.91
ALLIANCE HLDGS,AHGP,Oils-Energy,NSDQ,2208.94
ALTRA INDUS MOT,AIMC,Industrial Products,NSDQ,660.64
APOLLO INV CP,AINV,Finance,NSDQ,1612.21
AIR METHODS CRP,AIRM,Medical,NSDQ,1607.98
AIXTRON AG-ADR,AIXG,Computer and Technology,NSDQ,675.16
AKAMAI TECH,AKAM,Computer and Technology,NSDQ,13340.87
AKORN INC,AKRX,Medical,NSDQ,4928.63
ALICO INC,ALCO,Consumer Staples,NSDQ,345.28
ALDER BIOPHARMA,ALDR,Medical,NSDQ,1790.29
ALIGN TECH INC,ALGN,Medical,NSDQ,4863.14
ALLEGIANT TRAVL,ALGT,Transportation,NSDQ,3735.6
ALKERMES INC,ALKS,Medical,NSDQ,10041.11
ALNYLAM PHARMA,ALNY,Medical,NSDQ,8919
ANALOGIC CORP,ALOG,Computer and Technology,NSDQ,973.01
ALARM.COM HLDGS,ALRM,Industrial Products,NSDQ,763.73
ALTERA CORP,ALTR,Computer and Technology,NSDQ,15044.96
ALEXION PHARMA,ALXN,Medical,NSDQ,42883.51
AMAG PHARMA INC,AMAG,Medical,NSDQ,2213.21
APPLD MATLS INC,AMAT,Computer and Technology,NSDQ,20912.53
AMBARELLA INC,AMBA,Computer and Technology,NSDQ,3603.59
AMBAC FINL GRP,AMBC,Finance,NSDQ,674.61
APPLD MICRO CIR,AMCC,Computer and Technology,NSDQ,519.35
AIRMEDIA GP-ADR,AMCN,Business Services,NSDQ,307.39
AMC NETWORKS- A,AMCX,Consumer Discretionary,NSDQ,5496.25
ADV MICRO DEV,AMD,Computer and Technology,NSDQ,1628.48
AMEDISYS INC,AMED,Medical,NSDQ,1570.52
AMGEN INC,AMGN,Medical,NSDQ,130783.29
AMKOR TECH INC,AMKR,Computer and Technology,NSDQ,999.43
AMPHASTAR PHARM,AMPH,Medical,NSDQ,673.99
ALBANY MOL RSCH,AMRI,Medical,NSDQ,695.48
AMARIN CORP PLC,AMRN,Medical,NSDQ,412.67
AMERISAFE INC,AMSF,Finance,NSDQ,933.39
AMSURG CORP,AMSG,Medical,NSDQ,3991.17
AMER WOODMARK,AMWD,Consumer Discretionary,NSDQ,1010.98
AMAZON.COM INC,AMZN,Retail-Wholesale,NSDQ,244434.59
ANACOR PHARMACT,ANAC,Medical,NSDQ,6201.11
AMER NAT INSUR,ANAT,Finance,NSDQ,2784.34
ANDERSONS INC,ANDE,Basic Materials,NSDQ,1050.73
ANGIODYNAMICS,ANGO,Medical,NSDQ,553.86
ANIKA THERAPEUT,ANIK,Medical,NSDQ,530.41
ANI PHARMACEUT,ANIP,Medical,NSDQ,620.23
ANSYS INC,ANSS,Computer and Technology,NSDQ,8417.02
ANTHERA PHARMA,ANTH,Medical,NSDQ,374.27
AMER PUB EDUCAT,APEI,Consumer Discretionary,NSDQ,406.36
APOGEE ENTRPRS,APOG,Industrial Products,NSDQ,1545.89
APOLLO GROUP,APOL,Consumer Discretionary,NSDQ,1332.98
ACCURAY INC,ARAY,Medical,NSDQ,504.73
ARCBEST CORP,ARCB,Transportation,NSDQ,852.25
ARES CAP CP,ARCC,Finance,NSDQ,4943.45
ARDELYX INC,ARDX,Medical,NSDQ,473.93
ARIAD PHARMA,ARIA,Medical,NSDQ,1432.03
AMER RAILCAR,ARII,Transportation,NSDQ,834.65
